Species,Feret
P.dasytaschya,81.31
P.dasytaschya,81.4
P.dasytaschya,81.83
P.dasytaschya,82.49
P.dasytaschya,82.78
P.dasytaschya,82.8
P.dasytaschya,82.86
P.dasytaschya,83.66
P.dasytaschya,83.66
P.dasytaschya,83.95
P.dasytaschya,83.95
P.dasytaschya,84.38
P.dasytaschya,84.52
P.dasytaschya,84.81
P.dasytaschya,84.83
P.dasytaschya,84.83
P.dasytaschya,85.28
P.dasytaschya,85.39
P.dasytaschya,85.47
P.dasytaschya,85.47
P.dasytaschya,85.94
P.dasytaschya,86.32
P.dasytaschya,86.32
P.dasytaschya,86.79
P.dasytaschya,87.8
P.dasytaschya,88.3
P.dasytaschya,88.54
P.dasytaschya,88.54
P.dasytaschya,88.54
P.dasytaschya,88.57
P.dasytaschya,88.75
P.dasytaschya,89.27
P.dasytaschya,89.56
P.dasytaschya,90.27
P.dasytaschya,90.35
P.dasytaschya,90.35
P.dasytaschya,90.9
P.dasytaschya,91.15
P.dasytaschya,91.15
P.dasytaschya,91.68
P.dasytaschya,91.7
P.dasytaschya,91.77
P.dasytaschya,91.78
P.dasytaschya,91.85
P.dasytaschya,92.55
P.dasytaschya,92.55
P.dasytaschya,92.92
P.dasytaschya,93.01
P.dasytaschya,93.12
P.dasytaschya,93.51
P.dasytaschya,93.53
P.dasytaschya,94.02
P.dasytaschya,94.11
P.dasytaschya,94.9
P.dasytaschya,95.5
P.dasytaschya,95.52
P.dasytaschya,95.9
P.dasytaschya,96.1
P.dasytaschya,96.59
P.dasytaschya,96.6
P.dasytaschya,97.24
P.dasytaschya,97.32
P.dasytaschya,97.42
P.dasytaschya,97.9
P.dasytaschya,98.68
P.dasytaschya,100.24
P.dasytaschya,100.51
P.dasytaschya,100.83
P.dasytaschya,100.83
P.dasytaschya,100.88
P.dasytaschya,101.11
P.dasytaschya,101.12
P.dasytaschya,101.65
P.dasytaschya,101.71
P.dasytaschya,102.03
P.dasytaschya,102.5
P.dasytaschya,102.97
P.dasytaschya,103.05
P.dasytaschya,103.58
P.dasytaschya,103.79
P.dasytaschya,103.94
P.dasytaschya,104.37
P.dasytaschya,104.89
P.dasytaschya,105.22
P.dasytaschya,105.24
P.dasytaschya,106.08
P.dasytaschya,107.74
P.dasytaschya,107.82
P.dasytaschya,108.18
